,,,,,
disease,miRNA,beta,standard error,z-value,p-value
DLB,MIMAT0027423,0.97,0.27,3.53,4.14E-04
DLB,MIMAT0027439,1.60,0.38,4.23,2.34E-05
DLB,MIMAT0027455,2.94,0.63,4.64,3.56E-06
DLB,MIMAT0027459,1.19,0.31,3.80,1.43E-04
DLB,MIMAT0027465,0.79,0.23,3.42,6.35E-04
DLB,MIMAT0027469,1.59,0.44,3.63,2.85E-04
DLB,MIMAT0027473,1.23,0.36,3.42,6.31E-04
DLB,MIMAT0027475,1.17,0.30,3.95,7.85E-05
DLB,MIMAT0027479,0.93,0.25,3.66,2.53E-04
DLB,MIMAT0027495,1.31,0.34,3.81,1.37E-04
DLB,MIMAT0027501,2.06,0.58,3.51,4.41E-04
DLB,MIMAT0027503,2.04,0.48,4.24,2.25E-05
DLB,MIMAT0027507,1.33,0.35,3.81,1.37E-04
DLB,MIMAT0027509,1.14,0.33,3.40,6.64E-04
DLB,MIMAT0027512,1.60,0.47,3.42,6.30E-04
DLB,MIMAT0027527,1.42,0.38,3.70,2.12E-04
DLB,MIMAT0027549,1.18,0.34,3.51,4.56E-04
DLB,MIMAT0027551,3.11,0.66,4.71,2.45E-06
DLB,MIMAT0027559,0.83,0.21,3.87,1.10E-04
DLB,MIMAT0027576,0.85,0.24,3.53,4.14E-04
DLB,MIMAT0027591,2.33,0.53,4.37,1.24E-05
DLB,MIMAT0027593,1.10,0.30,3.73,1.93E-04
DLB,MIMAT0027617,2.09,0.48,4.34,1.42E-05
DLB,MIMAT0027619,1.63,0.44,3.69,2.28E-04
DLB,MIMAT0027624,1.61,0.37,4.33,1.52E-05
DLB,MIMAT0027626,1.16,0.32,3.64,2.76E-04
DLB,MIMAT0027635,1.49,0.35,4.31,1.62E-05
DLB,MIMAT0027641,1.45,0.34,4.24,2.21E-05
DLB,MIMAT0027651,1.26,0.31,4.10,4.21E-05
DLB,MIMAT0027655,1.35,0.38,3.57,3.56E-04
DLB,MIMAT0027661,1.91,0.54,3.56,3.65E-04
DLB,MIMAT0027671,1.48,0.37,4.01,6.13E-05
DLB,MIMAT0027675,1.51,0.43,3.53,4.10E-04
DLB,MIMAT0027679,1.60,0.42,3.80,1.47E-04
DLB,MIMAT0027687,1.10,0.26,4.17,3.08E-05
DLB,MIMAT0028110,1.52,0.38,4.04,5.28E-05
DLB,MIMAT0028116,1.32,0.37,3.58,3.39E-04
DLB,MIMAT0028120,1.22,0.34,3.59,3.25E-04
DLB,MIMAT0028126,1.46,0.38,3.83,1.27E-04
DLB,MIMAT0028214,0.92,0.26,3.47,5.14E-04
DLB,MIMAT0028230,1.25,0.34,3.71,2.07E-04
